h1,p
Código Penal AguascalientesArtículo 157. Responsabilidad profesional médica,"X. Alterar el proceso natural del parto de bajo riesgo, mediante el uso de técnicas de aceleración, sin obtener el consentimiento voluntario de la mujer o ante su imposibilidad el consentimiento de quien este facultado legalmente para otorgarlo;"
Código Penal AguascalientesArtículo 157. Responsabilidad profesional médica,"XI. Practicar una cesárea, existiendo condiciones para el parto natural y sin obtener el consentimiento voluntario de la mujer o ante su imposibilidad el consentimiento de quien esté facultado legalmente para otorgarlo;"
Código Penal AguascalientesArtículo 157. Responsabilidad profesional médica,"XII. Imponer cualquier método anticonceptivo, realice esterilización o cualquier intervención quirúrgica que impida la concepción, sin justificación médica de emergencia o sin consentimiento expreso de la mujer o ante su imposibilidad el consentimiento de quien este facultado legalmente para otorgarlo; o"
Código Penal AguascalientesArtículo 157. Responsabilidad profesional médica,XIII. Practicar un procedimiento médico quirúrgico de especialidad sin contar con los requisitos establecidos en la Ley General de Salud.
Código Penal AguascalientesArtículo 157. Responsabilidad profesional médica,"Al responsable de la comisión de la presente figura típica se le aplicarán de 1 a 3 años de prisión, de 50 a 200 días multa, al pago total de la reparación de los daños y perjuicios ocasionados y de 6 meses a 3 años de inhabilitación para ejercer su profesión."
Código Penal AguascalientesArtículo 158. Responsabilidad médica asistencial,"La Responsabilidad Médica Asistencial se cometerá por directores, encargados o administradores de cualquier centro de salud, cuando prestado un servicio médico:"
Código Penal AguascalientesArtículo 158. Responsabilidad médica asistencial,"I. Impidan la salida del paciente o retengan sin necesidad a un recién nacido, cuando aquél o sus familiares lo soliciten, aduciendo adeudos de cualquier índole;"
Código Penal AguascalientesArtículo 158. Responsabilidad médica asistencial,"II. Retarden o nieguen por cualquier motivo la entrega de un cadáver a sus deudos, excepto cuando se requiera orden de autoridad competente para el efecto."
Código Penal AguascalientesArtículo 158. Responsabilidad médica asistencial,"III. Nieguen o restrinjan el acceso al hospital o centro de salud, a una mujer embarazada , cuando haya riesgo de afectación a su salud o integridad física, así como el producto de la concepción; o"
Código Penal AguascalientesArtículo 158. Responsabilidad médica asistencial,IV. Proporcionen sin causa justificada un lugar inapropiado a la mujer embarazada para realizar el parto.
Código Penal AguascalientesArtículo 158. Responsabilidad médica asistencial,"Así mismo, se considerará como Responsabilidad Médica Asistencial, el surtir una receta los encargados, empleados o dependientes de una farmacia, sustituyendo la medicina específicamente señalada por otra que cause daño a la salud del paciente, o sea evidentemente inapropiada al padecimiento para el que se prescribió."
Código Penal AguascalientesArtículo 158. Responsabilidad médica asistencial,"Al responsable de la comisión de la presente figura típica se le aplicarán de 6 meses a 2 años de prisión, de 20 a 50 días multa, al pago total de la reparación de los daños y perjuicios ocasionados, y suspensión de 3 meses a 1 año"
"Código Penal AguascalientesArtículo 159. Responsabilidad profesional de abogados, defensores o litigantes","La Responsabilidad Profesional de Abogados, Defensores o Litigantes, consiste en:"
"Código Penal AguascalientesArtículo 159. Responsabilidad profesional de abogados, defensores o litigantes","I. Abandonar una defensa o negocio, sin motivo justificado;"
"Código Penal AguascalientesArtículo 159. Responsabilidad profesional de abogados, defensores o litigantes","II. Asistir o ayudar a dos o más contendientes o partes con intereses opuestos en el mismo negocio o en negocios conexos, o aceptar el patrocinio de algunos y admitan después el de la parte contraria en un mismo negocio;"
"Código Penal AguascalientesArtículo 159. Responsabilidad profesional de abogados, defensores o litigantes","III. Procurar la dilación del juicio o procedimiento en el que tengan representación legal, mediante la utilización de recursos, incidentes o medios notoriamente improcedentes o ilegales;"
"Código Penal AguascalientesArtículo 159. Responsabilidad profesional de abogados, defensores o litigantes",IV. Procurar deliberadamente resoluciones desfavorables en un juicio o procedimiento;
"Código Penal AguascalientesArtículo 159. Responsabilidad profesional de abogados, defensores o litigantes",V. Pedir términos para probar lo que notoriamente no puede demostrarse o no ha de aprovechar a su parte;
"Código Penal AguascalientesArtículo 159. Responsabilidad profesional de abogados, defensores o litigantes","VI. Concretarse solamente a aceptar el cargo de defensor, de oficio o particular, y a solicitar la libertad caucional, sin promover más pruebas habiéndolas, ni dirigir al inculpado en su defensa; o"
"Código Penal AguascalientesArtículo 159. Responsabilidad profesional de abogados, defensores o litigantes","VII. Patrocinar o defender directa o indirectamente, los negocios en los que, no siendo parte interesada los litigantes sin Título, persigan éstos obtener un lucro cualquiera, así como cuando autoricen con su firma, en las condiciones indicadas, promociones en negocios judiciales."
"Código Penal AguascalientesArtículo 159. Responsabilidad profesional de abogados, defensores o litigantes","Al responsable de la comisión de la presente figura típica se le aplicarán de 1 a 3 años de prisión, de 25 a 100 días multa, al pago total de la reparación de los daños y perjuicios ocasionados, y suspensión de 6 meses a 3 años para ejercer la profesión."
"Código Penal AguascalientesArtículo 160. Falsificación y uso indebido de sellos, marcas, llaves, contraseñas y otros objetos","La Falsificación y Uso Indebido de Sellos, Marcas, Llaves, Contraseñas y Otros Objetos consiste en la suplantación, alteración, enajenación, destrucción u ocultamiento de cualquier clase de sellos, marcas, llaves, boletos, contraseñas, troqueles o cuños oficiales o particulares o uso no autorizado de los mismos, con el fin manifiesto de obtener un beneficio indebido o para causar un daño."
"Código Penal AguascalientesArtículo 160. Falsificación y uso indebido de sellos, marcas, llaves, contraseñas y otros objetos","Al responsable de Falsificación y Uso Indebido de Sellos, Marcas, Llaves, Contraseñas y Otros Objetos se le aplicarán de 1 a 5 años de prisión y de 25 a 150 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados"
Código Penal AguascalientesArtículo 161. Falsificación de documentos,La Falsificación de Documentos consiste en:
Código Penal AguascalientesArtículo 161. Falsificación de documentos,"I. Alterar un documento público o privado, o cualquier dispositivo electrónico en forma de tarjeta plástica, o imitar los originales, obteniendo un beneficio o provocando un daño; o"
Código Penal AguascalientesArtículo 161. Falsificación de documentos,"II. Ejercer el fedatario público sus funciones cuando deba abstenerse en términos de la Ley del Notariado del Estado, o dar fe de lo que no consta en autos, registros, protocolos o documentos, y que el documento expedido sea utilizado para obtener un beneficio o provocar un daño."
Código Penal AguascalientesArtículo 161. Falsificación de documentos,"Al responsable de Falsificación de Documentos se le aplicarán de 1 a 5 años de prisión y multa de 25 a 150 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados. Respecto de los fedatarios, se informará de la responsabilidad que haya tenido a las autoridades administrativas competentes de su vigilancia y control, para los efectos legales correspondientes."
Código Penal AguascalientesArtículo 162. Uso de documentos falsos,"El Uso de Documentos Falsos consiste en utilizar en su provecho, el inculpado, con conocimiento de esa circunstancia:"
Código Penal AguascalientesArtículo 162. Uso de documentos falsos,I. Un documento original alterado;
Código Penal AguascalientesArtículo 162. Uso de documentos falsos,II. Un documento imitación del original; o
Código Penal AguascalientesArtículo 162. Uso de documentos falsos,"III. Un documento original expedido a favor de otro, como si hubiera sido expedido a su nombre."
Código Penal AguascalientesArtículo 162. Uso de documentos falsos,"Al responsable de Uso de Documentos Falsos se le aplicarán de 1 a 5 años de prisión y de 25 a 150 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 163. Usurpación de profesiones,"La Usurpación de Profesiones consiste en el ejercicio que se haga por el inculpado de los actos propios de una profesión, sin tener Título o autorización legal y se ostente como profesional de la materia."
Código Penal AguascalientesArtículo 163. Usurpación de profesiones,"Al responsable de Usurpación de Profesiones se le aplicarán de 6 meses a 5 años de prisión y de 20 a 250 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 163. Usurpación de profesiones,"Cuando el imputado cometa Usurpación de Profesiones realizando actos propios de la profesión médica, se le aplicarán de 3 a 7 años de prisión, de 100 a 500 días multa, al pago total de la reparación de los daños y perjuicios ocasionados"
Código Penal AguascalientesArtículo 164. Ejercicio indebido del propio derecho,"El Ejercicio Indebido del Propio Derecho consiste en el empleo de la violencia física o moral, la furtividad, el hostigamiento o la intimidación para hacer efectivo un derecho o pretendido derecho que puede ejercitarse por vía legal."
